final_live_priority_rank,sigungu,final_live_water_risk_score,final_live_water_risk_level,live_score_delta_from_baseline,live_main_risk_driver,live_recommended_action,live_rain_shortage_score,live_reservoir_risk_score,live_soil_moisture_drought_score,groundwater_dependency_score,crop_water_demand_score,alternative_source_access_shortage_score,live_weather_source,live_reservoir_source,live_soil_source,final_priority_rank,final_water_risk_score,final_water_risk_level,main_risk_driver,recommended_action,rain_shortage_score,reservoir_risk_score,water_supply_pressure_score,agricultural_demand_score,alternative_water_risk_score,agri_impact_index,well_support_score,well_shortage_score,reservoir_data_missing,reservoir_latest_date,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,risk_level_by_reservoir,weather_latest_date,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level,total_households,rice_households,crop_household_demand_index,farm_household_scale_index,rice_area,rice_yield_10a,rice_production,rice_area_index,rice_production_index,rice_productivity_index,crop_vulnerability_index,crop_vulnerability_level,farm_households_agri_stats,farm_population,farm_population_index,farm_households_agri_stats_index,total_benefit_area,facility_effective_capacity,benefit_area_index,reservoir_capacity_index,agri_impact_level,well_count,groundwater_well_count,drilling_developed_well_count,total_pump_capacity,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_level,rain_shortage_score_missing,rain_shortage_score_for_score,reservoir_risk_score_missing,reservoir_risk_score_for_score,groundwater_dependency_score_missing,groundwater_dependency_score_for_score,crop_water_demand_score_missing,crop_water_demand_score_for_score,alternative_source_access_shortage_score_missing,alternative_source_access_shortage_score_for_score,agri_impact_index_missing,agri_impact_index_for_score,well_shortage_score_missing,well_shortage_score_for_score,well_support_score_missing,well_support_score_for_score,date,today_reservoir_count,today_avg_reservoir_rate,today_min_reservoir_rate,today_max_reservoir_rate,today_low_reservoir_count_40,today_low_reservoir_count_30,today_over_100_count,today_reservoir_risk_score,weather_start_date,weather_end_date,station_count,rainfall_30d,rainfall_7d,rain_days_30d,rain_days_7d,avg_temperature_30d,avg_humidity_30d,avg_wind_speed_30d,latest_rain_shortage_score,weather_data_status,soil_data_date,soil_row_count,soil_moisture_avg,soil_moisture_min,soil_moisture_max,soil_dry_count,soil_severe_count,soil_moisture_drought_score,soil_data_status,live_rain_shortage_score_for_score,live_reservoir_risk_score_for_score,live_soil_moisture_drought_score_for_score
1,보령시,50.88455420453328,주의,22.225295205219442,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,84.77180298237687,63.60999999999999,0.0,14.950025657098896,69.7379488346864,85.04997434290111,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,5,28.65925899931384,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,12.86666666666666,6.43333333333333,69.7379488346864,39.48500769712967,46.73429776558594,14.950025657098896,85.04997434290111,0,2025-12-31,87.13333333333334,0.0,100.0,30.0,2.0,1.0,0.0,낮음,2024-12-31,0,94.0,80.9,116.2,0.0,,6.0,2.0,낮음,7792.0,5269.0,97.76825477806452,68.68277033402529,8218.0,551.0,45261.0,43.5561755553171,40.033659785508384,44.18604651162791,69.7379488346864,경계,,,,,26856.0,180175.5,51.63820950622981,50.1555534646834,주의,4356,4096,260,141848.6,38.535343656615055,39.6895751953125,13.408783783783784,17.26188846707156,낮음,0,0.0,0,12.86666666666666,0,14.950025657098896,0,69.7379488346864,0,85.04997434290111,0,46.73429776558594,0,85.04997434290111,0,14.950025657098896,2026-07-04,1.0,37.7,37.7,37.7,1.0,0.0,0.0,63.60999999999999,2026-06-06 00:00:00,2026-07-06 00:00:00,4,71.75,14.125,6.5,2.8,,,,84.77180298237687,AWS_AUTO,2026-06-29,1,86.0,86.0,86.0,0,0,0.0,ADMS_SOIL_AUTO,84.77180298237687,63.60999999999999,0.0
2,예산군,50.792079072913175,주의,24.87387482123004,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,84.54586534116585,37.87,35.0,10.112964286370762,58.68838526907645,89.88703571362925,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,8,25.918204251683136,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,3.5,9.176923076923076,6.338461538461538,58.68838526907645,38.03388928591123,77.1313341427776,10.112964286370762,89.88703571362925,0,2025-12-31,90.82307692307693,73.2,100.0,13.0,0.0,0.0,0.0,낮음,2024-12-31,0,81.7,84.7,96.5,3.5,,18.3,7.266666666666666,낮음,9273.0,5207.0,55.065713388944445,82.65710511417248,9678.0,566.0,54780.0,51.38963408090997,48.55513580291122,61.627906976744185,58.68838526907645,주의,,,,,52008.0,359233.4,100.0,100.0,경계,2662,2081,581,115577.5,55.9968507751938,58.34526669870255,7.685810810810811,13.753694499710686,낮음,0,3.5,0,9.176923076923076,0,10.112964286370762,0,58.68838526907645,0,89.88703571362925,0,77.1313341427776,0,89.88703571362925,0,10.112964286370762,2026-07-04,1.0,45.9,45.9,45.9,0.0,0.0,0.0,37.87,2026-06-06 00:00:00,2026-07-06 00:00:00,1,72.0,25.5,5.0,2.0,,,,84.54586534116585,AWS_AUTO,2026-06-29,1,58.0,58.0,58.0,0,0,35.0,ADMS_SOIL_AUTO,84.54586534116585,37.87,35.0
3,당진시,47.401076777628866,주의,6.382762787567842,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,96.94733142541548,16.380000000000003,0.0,0.0,98.23740328363844,100.0,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,1,41.018313990061024,주의,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,14.400000000000006,31.08333333333333,22.741666666666667,98.23740328363844,35.0,52.531962839243775,0.0,100.0,0,2025-12-31,68.91666666666667,0.1,100.0,12.0,1.0,1.0,0.0,낮음,2024-12-31,0,68.8,80.4,85.6,14.400000000000006,,31.200000000000003,15.200000000000005,낮음,10177.0,6877.0,100.0,91.18701641819212,18738.0,599.0,112247.0,100.0,100.0,100.0,98.23740328363844,심각,,,,,7698.0,33490.1,14.801568989386247,9.322657637068268,주의,387,216,171,12583.0,58.254629629629626,71.36111111111111,0.0,0.0,낮음,0,14.400000000000006,0,31.08333333333333,0,0.0,0,98.23740328363844,0,100.0,0,52.531962839243775,0,100.0,0,0.0,2026-07-04,1.0,76.6,76.6,76.6,0.0,0.0,0.0,16.380000000000003,2026-06-06 00:00:00,2026-07-06 00:00:00,9,58.27777777777778,18.61111111111111,4.2,2.1,,,,96.94733142541548,AWS_AUTO,2026-06-29,1,63.0,63.0,63.0,0,0,0.0,ADMS_SOIL_AUTO,96.94733142541548,16.380000000000003,0.0
4,논산시,41.73731836335513,주의,10.829021851943622,관정 의존도,정기 점검 강화 및 농업용수 수요 변화 관찰,25.21464075915048,68.78999999999999,0.0,69.74328688134362,62.994839116385705,30.25671311865638,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,4,30.908296511411507,낮음,관정 의존도,일반 모니터링 유지,0.0,5.340000000000003,2.6700000000000017,62.994839116385705,55.92298606440309,62.84830295755991,69.74328688134362,30.25671311865638,0,2025-12-31,94.66,48.0,100.0,25.0,0.0,0.0,0.0,낮음,2024-12-31,0,91.2,79.2,115.2,0.0,,8.799999999999997,2.933333333333332,낮음,9882.0,5345.0,60.012562492607245,88.40347235327421,10418.0,539.0,56164.0,55.36001716922416,49.79410237587954,30.23255813953488,62.994839116385705,경계,,,,,39527.4,228506.28,76.002538071066,63.60941939140402,경계,18247,18024,223,640504.41,35.54014038397514,28.305353972481143,60.33783783783784,83.85146044660229,높음,0,0.0,0,5.340000000000003,0,69.74328688134362,0,62.994839116385705,0,30.25671311865638,0,62.84830295755991,0,30.25671311865638,0,69.74328688134362,2026-07-04,1.0,30.3,30.3,30.3,1.0,0.0,0.0,68.78999999999999,2026-06-06 00:00:00,2026-07-06 00:00:00,4,137.65,59.225,8.8,3.0,,,,25.21464075915048,AWS_AUTO,2026-06-29,1,90.0,90.0,90.0,0,0,0.0,ADMS_SOIL_AUTO,25.21464075915048,68.78999999999999,0.0
5,서산시,40.83212797358449,주의,7.235999407865698,대체 수원 접근성 부족도,정기 점검 강화 및 농업용수 수요 변화 관찰,73.15860822413013,14.419999999999996,0.0,3.4276038212250635,87.6335075846481,96.57239617877494,AWS_AUTO,OLDAM_TODAY,ADMS_SOIL_AUTO,3,33.59612856571879,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,22.906666666666663,11.453333333333331,87.6335075846481,36.02828114636752,66.84299258876399,3.4276038212250635,96.57239617877494,0,2025-12-31,77.09333333333333,11.4,92.8,18.0,1.0,1.0,0.0,낮음,2024-12-31,0,85.6,81.5,105.0,0.0,,14.400000000000006,4.800000000000002,낮음,11082.0,6563.0,84.83089301266075,99.72636346480468,16391.0,544.0,89191.0,87.40744715098187,79.36010599251607,36.04651162790697,87.6335075846481,심각,,,,,29463.0,172026.29,56.65089986155976,47.88705337532646,경계,1167,833,334,47152.19999999999,56.60528211284512,53.16346153846154,2.635135135135135,4.616306850359956,낮음,0,0.0,0,22.906666666666663,0,3.4276038212250635,0,87.6335075846481,0,96.57239617877494,0,66.84299258876399,0,96.57239617877494,0,3.4276038212250635,2026-07-04,2.0,79.4,58.8,100.0,0.0,0.0,1.0,14.419999999999996,2026-06-06 00:00:00,2026-07-06 00:00:00,1,84.60000000000001,10.2,5.0,3.0,,,,73.15860822413013,AWS_AUTO,2026-06-29,1,70.0,70.0,70.0,0,0,0.0,ADMS_SOIL_AUTO,73.15860822413013,14.419999999999996,0.0
6,태안군,39.931901235208315,낮음,16.13263106149718,강우 부족도,일반 모니터링 유지,100.0,9.05263157894737,0.0,6.2283715924751135,52.066375598633904,93.77162840752489,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,12,23.799270173711136,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,2.0,9.05263157894737,5.526315789473685,52.066375598633904,36.86851147774253,28.891341422661096,6.2283715924751135,93.77162840752489,0,2025-12-31,90.94736842105264,69.6,100.0,19.0,0.0,0.0,0.0,낮음,2024-12-31,0,86.5,88.3,98.0,2.0,,13.5,5.166666666666667,낮음,6580.0,3000.0,59.8242856303126,57.24665031137951,8105.0,553.0,44850.0,42.94988732696641,39.66572968327574,46.51162790697674,52.066375598633904,주의,,,,,10561.8,56894.8,20.308029533917857,15.83783690492031,낮음,2305,2159,146,56400.69999999995,38.950759668508255,46.28520093185789,6.47972972972973,5.85133438659319,낮음,0,2.0,0,9.05263157894737,0,6.2283715924751135,0,52.066375598633904,0,93.77162840752489,0,28.891341422661096,0,93.77162840752489,0,6.2283715924751135,,,,,,,,,,2026-06-06 00:00:00,2026-07-06 00:00:00,5,54.9,10.9,4.6,2.4,,,,100.0,AWS_AUTO,2026-06-29,1,63.0,63.0,63.0,0,0,0.0,ADMS_SOIL_AUTO,100.0,9.05263157894737,0.0
7,홍성군,38.93534802538486,낮음,11.157671317434772,강우 부족도,일반 모니터링 유지,80.02711251694534,13.755555555555546,0.0,23.01105813644869,60.18841002708166,76.9889418635513,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,6,27.77767670795009,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,13.755555555555546,6.877777777777773,60.18841002708166,41.9033174409346,30.34967222570293,23.01105813644869,76.9889418635513,0,2025-12-31,86.24444444444445,70.9,100.0,9.0,0.0,0.0,0.0,낮음,2024-12-31,0,81.7,79.2,103.2,0.0,,18.3,6.099999999999999,낮음,10029.0,5457.0,61.53059683323852,89.79052651443669,8541.0,555.0,47426.0,45.28919411954072,41.97178307342489,48.837209302325576,60.18841002708166,경계,,,,,10816.2,61364.1,20.79718504845409,17.081958414779916,낮음,5643,5395,248,243921.47,48.12972967640095,50.94124189063948,17.756756756756754,30.89251020598659,낮음,0,0.0,0,13.755555555555546,0,23.01105813644869,0,60.18841002708166,0,76.9889418635513,0,30.34967222570293,0,76.9889418635513,0,23.01105813644869,,,,,,,,,,2026-06-06 00:00:00,2026-07-06 00:00:00,4,77.0,21.75,5.2,2.0,,,,80.02711251694534,AWS_AUTO,2026-06-29,1,70.0,70.0,70.0,0,0,0.0,ADMS_SOIL_AUTO,80.02711251694534,13.755555555555546,0.0
8,아산시,38.32883687580019,낮음,12.908221768494471,대체 수원 접근성 부족도,일반 모니터링 유지,85.33664708540444,4.016666666666666,0.0,14.166488203732897,64.99899810132882,85.8335117962671,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,10,25.42061510730572,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,4.016666666666666,2.008333333333333,64.99899810132882,39.24994646111986,48.71500176845834,14.166488203732897,85.8335117962671,0,2025-12-31,95.98333333333332,64.8,100.0,18.0,0.0,0.0,0.0,낮음,2024-12-31,0,92.6,86.6,106.8,0.0,,7.400000000000006,2.466666666666669,낮음,8847.0,5413.0,77.04518723957968,78.63747876957916,9000.0,545.0,49062.0,47.75190471080588,43.436341825864325,37.2093023255814,64.99899810132882,경계,,,,,29437.2,150244.01,56.60129210890632,41.82350805910586,주의,3050,2798,252,176740.5,83.172,65.73906361686919,8.996621621621621,21.92128807689981,낮음,0,0.0,0,4.016666666666666,0,14.166488203732897,0,64.99899810132882,0,85.8335117962671,0,48.71500176845834,0,85.8335117962671,0,14.166488203732897,,,,,,,,,,2026-06-06 00:00:00,2026-07-06 00:00:00,4,71.125,24.125,5.8,2.5,,,,85.33664708540444,AWS_AUTO,2026-06-29,1,60.0,60.0,60.0,0,0,0.0,ADMS_SOIL_AUTO,85.33664708540444,4.016666666666666,0.0
9,천안시,33.08404858914444,낮음,11.84298330044835,대체 수원 접근성 부족도,일반 모니터링 유지,73.0492068399648,7.179999999999993,0.0,1.853669814823628,46.30349153606864,98.14633018517635,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,13,21.24106528869609,낮음,대체 수원 접근성 부족도,일반 모니터링 유지,0.0,7.179999999999993,3.5899999999999963,46.30349153606864,35.55610094444708,25.59949071075291,1.853669814823628,98.14633018517635,0,2025-12-31,92.82,70.2,100.0,20.0,0.0,0.0,0.0,낮음,2024-12-31,0,86.4,82.4,104.9,0.0,,13.599999999999994,4.533333333333331,낮음,11111.0,5149.0,39.14424212946997,100.0,5330.0,517.0,27578.0,28.060950745788176,24.20371331889066,4.651162790697675,46.30349153606864,주의,,,,,14848.4,69440.65,28.55022304260883,19.33023209979918,낮음,581,397,184,39924.0,101.32994923857868,80.73989898989899,0.6554054054054054,3.6510664289509625,낮음,0,0.0,0,7.179999999999993,0,1.853669814823628,0,46.30349153606864,0,98.14633018517635,0,25.59949071075291,0,98.14633018517635,0,1.853669814823628,,,,,,,,,,2026-06-06 00:00:00,2026-07-06 00:00:00,19,84.72105263157896,17.13157894736842,6.0,2.5,,,,73.0492068399648,AWS_AUTO,2026-06-29,1,87.0,87.0,87.0,0,0,0.0,ADMS_SOIL_AUTO,73.0492068399648,7.179999999999993,0.0
10,공주시,31.625000617699488,낮음,3.9916502496238486,관정 의존도,일반 모니터링 유지,48.516342822714265,10.491666666666674,0.0,57.37706224933694,46.36363738237635,42.62293775066306,AWS_AUTO,BASELINE_2025,ADMS_SOIL_AUTO,7,27.63335036807564,낮음,관정 의존도,일반 모니터링 유지,0.0,10.491666666666674,5.245833333333337,46.36363738237635,52.21311867480108,29.02503809937301,57.37706224933694,42.62293775066306,0,2025-12-31,89.50833333333333,47.9,100.0,12.0,0.0,0.0,0.0,낮음,2024-12-31,0,87.0,72.3,120.3,0.0,,13.0,4.333333333333333,낮음,9281.0,4810.0,44.466462609378105,82.73259105491603,5949.0,533.0,31707.0,31.38212254533748,27.9000232753836,23.25581395348837,46.36363738237635,주의,,,,,13941.4,117803.52,26.806260575296108,32.793030937546455,낮음,23861,23429,432,195950.64,38.02651659227634,29.59024286141108,79.30405405405405,24.48657454226128,보통,0,0.0,0,10.491666666666674,0,57.37706224933694,0,46.36363738237635,0,42.62293775066306,0,29.02503809937301,0,42.62293775066306,0,57.37706224933694,,,,,,,,,,2026-06-06 00:00:00,2026-07-06 00:00:00,6,111.86666666666667,24.433333333333334,9.5,4.0,,,,48.516342822714265,AWS_AUTO,2026-06-29,1,92.0,92.0,92.0,0,0,0.0,ADMS_SOIL_AUTO,48.516342822714265,10.491666666666674,0.0
