collection_date_kst,source_url,raw_csv_path,raw_bytes,csv_encoding,raw_rows,standardized_rows,matched_rows,unmatched_rows,latest_measurement_date,sigungu_count,avg_reservoir_rate_today,low_40_count_today,low_30_count_today,over_100_count_today,status,logged_at_kst,data_age_days,freshness_status
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,3,3,2026-05-22,3,82.56666666666666,0,0,1,SUCCESS,2026-05-28 19:15:44,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,0,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 19:20:13,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,0,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 19:40:34,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data/raw/live_snapshots/20260528/oldam_reservoir_today_raw.csv,383,cp949,6,6,0,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 19:46:52,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,0,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 20:25:21,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 20:45:03,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 20:48:28,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data\raw\live_snapshots\20260528\oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 20:49:02,,
20260528,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data/raw/live_snapshots/20260528/oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-28 20:52:09,,
20260529,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data/raw/live_snapshots/20260529/oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-29 10:58:10,7.0,STALE_BUT_USABLE
20260530,https://alldam.chungnam.go.kr/bigdata/collect/csvDownLoad.do?apiIdx=2869,data/raw/live_snapshots/20260530/oldam_reservoir_today_raw.csv,383,cp949,6,6,6,0,2026-05-22,5,82.56666666666666,0,0,1,SUCCESS,2026-05-30 10:53:41,8.0,STALE_CHECK_REQUIRED
